
--   ----------          ----------------         ----                ------
ID   IP Address          Physical Address         Type                Active
--   ----------          ----------------         ----                ------
1    192.168.1.1         AA:BB:CC:DD:EE:FF:01     Ethernet            Yes  
2    192.168.1.2         AA:BB:CC:DD:EE:FF:02     WiFi                No   
3    192.168.1.3         AA:BB:CC:DD:EE:FF:03     Ethernet            Yes  
4    192.168.1.4         AA:BB:CC:DD:EE:FF:04     WiFi                No   
6    192.168.1.6         AA:BB:CC:DD:EE:FF:06     WiFi                No   
7    192.168.1.7         AA:BB:CC:DD:EE:FF:07     Ethernet            Yes  
8    192.168.1.8         AA:BB:CC:DD:EE:FF:08     WiFi                No   
9    192.168.1.9         AA:BB:CC:DD:EE:FF:09     Ethernet            Yes  
10   192.168.1.10        AA:BB:CC:DD:EE:FF:010    WiFi                No   
